Fragment,107,92
IsotopeRatio,UnSub/13C,UnSub/13C
ScanByScan Avg R Val,0.087428687,0.07566337
TrapRule Avg R val,0.08706825,0.076655689
N,3,3
ScanStdDev,0.000704556,0.000570234
ScanStdError,0.000406776,0.000329224
ScanRelStdError,0.004652656,0.004351174
TrapStdDev,0.000722643,0.000642526
TrapStdError,0.000417218,0.000370962
TrapRelStdError,0.004791853,0.004839333
