FileNumber,Fragment,IsotopeRatio,IntegratedIsotopeRatio,Average,StdDev,StdError,RelStdError,TICVar,TIC*ITVar,TIC*ITMean,ShotNoise
GCTestFolder/02172021_pxylene_newMethod_80_120_1ul_01.xlsx,107,UnSub/13C,0.087624982,0.087253349,0.005014281,0.000578999,0.00663584,1.570744191,0.27982436,243298.4,0.004268974
GCTestFolder/02172021_pxylene_newMethod_80_120_1ul_02.xlsx,107,UnSub/13C,0.086251599,0.086828357,0.005059908,0.000584268,0.006728998,1.615995267,0.326774938,250861.7733,0.00429388
GCTestFolder/02172021_pxylene_newMethod_80_120_1ul_03.xlsx,107,UnSub/13C,0.087328169,0.088204354,0.0062408,0.000715869,0.008116026,1.635259988,0.257221546,236018.8158,0.004180676
GCTestFolder/02172021_pxylene_newMethod_80_120_1ul_01.xlsx,92,UnSub/13C,0.076397498,0.07505744,0.004091009,0.000472389,0.0062937,1.570744191,0.27982436,243298.4,0.003109749
GCTestFolder/02172021_pxylene_newMethod_80_120_1ul_02.xlsx,92,UnSub/13C,0.077387149,0.0761895,0.003649062,0.000421357,0.005530386,1.615995267,0.326774938,250861.7733,0.003100462
GCTestFolder/02172021_pxylene_newMethod_80_120_1ul_03.xlsx,92,UnSub/13C,0.076182421,0.075743172,0.00521069,0.000597707,0.007891235,1.635259988,0.257221546,236018.8158,0.003065458
