FileNumber,Fragment,IsotopeRatio,Average,StdDev,StdError,RelStdError,TICVar,TIC*ITVar,TIC*ITMean
singleFragmentTestFolder/20201214_07_5 uL Methionine 5uM M+1 5e4 133_1.xlsx,134.0,33S/13C,0.1298771165472037,0.013675037359422344,0.0005688065676368775,0.004379574960998963,0.053155606459458896,0.07349896955259862,76163.06747404844
singleFragmentTestFolder/20201214_07_5 uL Methionine 5uM M+1 5e4 133_2.xlsx,134.0,33S/13C,0.1298771165472037,0.013675037359422344,0.0005688065676368775,0.004379574960998963,0.053155606459458896,0.07349896955259862,76163.06747404844
singleFragmentTestFolder/20201214_07_5 uL Methionine 5uM M+1 5e4 133_3.xlsx,134.0,33S/13C,0.1298771165472037,0.013675037359422344,0.0005688065676368775,0.004379574960998963,0.053155606459458896,0.07349896955259862,76163.06747404844
singleFragmentTestFolder/20201214_07_5 uL Methionine 5uM M+1 5e4 133_1.xlsx,134.0,D/13C,0.017387858331907664,0.004636187409508535,0.00019283997388912813,0.01109049603511298,0.053155606459458896,0.07349896955259862,76163.06747404844
singleFragmentTestFolder/20201214_07_5 uL Methionine 5uM M+1 5e4 133_2.xlsx,134.0,D/13C,0.017387858331907664,0.004636187409508535,0.00019283997388912813,0.01109049603511298,0.053155606459458896,0.07349896955259862,76163.06747404844
singleFragmentTestFolder/20201214_07_5 uL Methionine 5uM M+1 5e4 133_3.xlsx,134.0,D/13C,0.017387858331907664,0.004636187409508535,0.00019283997388912813,0.01109049603511298,0.053155606459458896,0.07349896955259862,76163.06747404844
singleFragmentTestFolder/20201214_07_5 uL Methionine 5uM M+1 5e4 133_1.xlsx,134.0,Unsub/13C,0.06265078322343093,0.00882425284910749,0.0003670405310887423,0.005858514645854768,0.053155606459458896,0.07349896955259862,76163.06747404844
singleFragmentTestFolder/20201214_07_5 uL Methionine 5uM M+1 5e4 133_2.xlsx,134.0,Unsub/13C,0.06265078322343093,0.00882425284910749,0.0003670405310887423,0.005858514645854768,0.053155606459458896,0.07349896955259862,76163.06747404844
singleFragmentTestFolder/20201214_07_5 uL Methionine 5uM M+1 5e4 133_3.xlsx,134.0,Unsub/13C,0.06265078322343093,0.00882425284910749,0.0003670405310887423,0.005858514645854768,0.053155606459458896,0.07349896955259862,76163.06747404844
